time,open,high,low,close,Volume
1770116100,78072.3,78096,78019.3,78077.3,1030806
1770116400,78077.3,78180.4,78037.2,78174.9,1404609
1770116700,78180.3,78224,78088,78135.6,1559516
1770117000,78135.5,78203.1,78129.4,78183.2,959288
1770117300,78183.1,78245.3,78084.3,78084.3,1387346
1770117600,78084.4,78124.9,78062.4,78073.1,1269965
1770117900,78073.2,78103.5,77976,78017.1,1868498
1770118200,78012.6,78207,77959.8,78148.4,2608723
1770118500,78148.9,78233.8,78087,78087,1576237
1770118800,78087.5,78239.8,78087.4,78179.4,1225417
1770119100,78180.3,78315.9,78170.4,78252.1,1836561
1770119400,78252.2,78252.2,78148.9,78194.7,1106781
1770119700,78194.6,78258.2,78032.1,78040,1526763
1770120000,78040.1,78100,77964.9,78013,2308309
1770120300,78012.9,78110,77956.2,78087.7,1394561
1770120600,78081.7,78285.4,78050,78182.4,1882600
1770120900,78182.5,78182.5,78095.5,78115.2,995166
1770121200,78113.9,78209,78093.6,78138.6,1306820
1770121500,78138.5,78301.5,78138.5,78281.7,1931166
1770121800,78274.6,78308.8,78172.1,78182.3,1340222
1770122100,78180,78305.9,78169.9,78291.8,1151185
1770122400,78291.7,78298.4,78201.7,78201.7,1238633
1770122700,78201.6,78370.3,78188.5,78363.1,1474332
1770123000,78363,78363.1,78228.6,78355.4,1367880
1770123300,78355.3,78377.8,78271.8,78289.8,1560533
1770123600,78289.7,78323.9,78200.8,78215.1,1840187
1770123900,78215.2,78416,78211,78329.3,2869906
1770124200,78329.2,78383.4,78285.7,78369.7,1060228
1770124500,78369.8,78376.3,78276.9,78285.2,928933
1770124800,78285.1,78303.9,78151,78213,1845857
1770125100,78213,78423.2,78212.9,78390.6,1345784
1770125400,78390.7,78420.9,78244.7,78315.9,2138403
1770125700,78315.9,78403.7,78268.1,78336.3,1433231
1770126000,78343,78366,78248.9,78261.4,1221021
1770126300,78261.3,78317.5,78228.9,78307.9,1113237
1770126600,78308,78312.4,78157,78205.8,1229573
1770126900,78205.9,78372.5,78205.8,78262.8,1679730
1770127200,78262.7,78371.8,78241.8,78278.8,1600218
1770127500,78278.7,78308.3,78250,78274.1,967804
1770127800,78274,78349.8,78223.7,78314.5,1215579
1770128100,78314.5,78397.5,78041.6,78087.5,3040693
1770128400,78087.4,78150.4,78071.7,78136.1,1805671
1770128700,78136,78394.5,78136,78385.5,3484096
1770129000,78385.5,78385.5,77960.9,78076.1,4155294
1770129300,78074.5,78256.3,77712.6,77719.6,6643575
1770129600,77722.1,78063.3,77621.2,77844.9,6754464
1770129900,77838.2,78170.6,77670,78002.9,4879336
1770130200,78000.7,78000.7,77401.8,77570,7833191
1770130500,77568.6,77600,77137,77164.5,9793544
1770130800,77164.5,77487.8,77051.6,77378.5,9734374
1770131100,77378.5,77639.1,77277.3,77591.5,9057577
1770131400,77591.5,77631.9,77105.9,77138.6,5121718
1770131700,77148.1,77491.4,77006.9,77284.2,4674409
1770132000,77284.2,77616,77210.8,77226.9,5144901
1770132300,77230,78090.4,77076.9,77696.1,10792290
1770132600,77698.3,78181.2,77531,77891.1,6789329
1770132900,77888,77916.4,77639,77787.8,2998512
1770133200,77787.9,77820.3,77434.4,77439.9,4885519
1770133500,77439.9,77898.8,77282.7,77864.9,4766531
1770133800,77865,78060,77776,77961.1,3592724
1770134100,77961.1,78156.6,77900,78094.2,4705665
1770134400,78094.1,78095,77750,77766.7,2829474
1770134700,77766.6,77864.7,77535.1,77585.8,4316888
1770135000,77583.9,77591.9,77311.5,77333.3,5257646
1770135300,77338.9,77370,77030.1,77149.1,4011060
1770135600,77149.1,77212.3,76698.6,76703.4,8859794
1770135900,76698,76946.9,76611.5,76650.1,8195602
1770136200,76650,76845.6,76527.8,76747.1,4865508
1770136500,76747,76869.5,76644.4,76700.4,2807005
1770136800,76700,76857.1,76588.3,76726.2,3052649
1770137100,76724.9,76834.6,76476.7,76714.8,5316051
1770137400,76714.8,76727.7,76521.9,76566.7,2227793
1770137700,76566.7,76690.4,76447.6,76458.2,2259462
1770138000,76458.2,76500,76365.5,76384.5,3603925
1770138300,76384.2,76408.5,76057.5,76098.7,6967419
1770138600,76098.8,76153.6,75628.9,75670.2,10813966
1770138900,75670.3,75913.1,75659.1,75813.3,5651474
1770139200,75820,76088.3,75699.9,75974,4861566
1770139500,75976.8,76077.2,75814.1,75868.9,2002913
1770139800,75868,75921.6,75730.1,75730.1,2320908
1770140100,75737.6,75823.8,75427.6,75506.1,6354920
1770140400,75506,75509.2,75112.4,75120.6,6371567
1770140700,75120.3,75251,74926.7,74995.7,6592547
1770141000,74995.7,75369.2,74991.8,75057.1,5278542
1770141300,75057.2,75084.3,74846.9,74877.5,5046253
1770141600,74877.6,75180.3,74877.5,75048.4,4186849
1770141900,75049.9,75267.8,74802,74819.9,5432611
1770142200,74820,74968.9,74641,74645.8,4058390
1770142500,74645.9,74830.9,74499.8,74701.2,8358739
1770142800,74707.1,74807,74263.9,74351.1,9931892
1770143100,74351,74351.1,73950.4,74071.1,11498040
1770143400,74071,74253.2,73896.8,74215.4,7525520
1770143700,74215.3,74272.9,73947,74160.2,4439073
1770144000,74155.8,74218.6,73677,73694.5,7439024
1770144300,73691,73751.6,73237.3,73243.1,13231492
1770144600,73243,73395.5,73105.2,73163.4,8176968
1770144900,73163.5,73470,73110.1,73112,5038256
1770145200,73111.9,73329.2,72905.7,73121.1,8424500
1770145500,73117.5,73578.1,73050,73522.4,6404960
1770145800,73517.9,74867.3,73517.8,74531.2,14855006
1770146100,74530,75023.1,74218,74970.2,10470200
1770146400,74970.1,75218,74687.6,74748.7,8005963
1770146700,74747.9,74956,74514.4,74891.9,5698938
1770147000,74893.1,75214.8,74753.6,74825.1,5416411
1770147300,74823.4,75008.1,74746.6,74916.4,3308480
1770147600,74913,75185.5,74802.1,74871.1,4053090
1770147900,74871,74876.5,74262.9,74464.5,5134151
1770148200,74464.9,74755,74418.3,74721.4,4359769
1770148500,74721.4,75024.4,74692.5,74893.9,3417476
1770148800,74893.8,75050.1,74669.1,74669.1,3957851
1770149100,74669,74743.6,74555,74593.3,2742777
1770149400,74593.4,74726.7,74549.4,74674.1,2105880
1770149700,74674.2,75187.3,74541,75064,6006204
1770150000,75072.1,75474,75021.8,75474,5245749
1770150300,75474,75844.4,75471.7,75617.7,6545289
