timestamp,open,high,low,close,volume,amount
2019-11-04,37.03,39.52,35.97,37.58,339074.72282,12858584.9300292
2019-11-11,37.59,37.73,34.98,35.78,182670.5809,6643585.0544686
2019-11-18,35.77,36.03,27.06,27.26,297092.97123,9353205.4672699
2019-11-25,27.25,29.8,25.15,27.93,333931.34761,9328793.6958623
2019-12-02,27.96,30.78,26.45,29.25,418125.72782,12005575.9744871
2019-12-09,29.25,33.71,28.92,32.89,834795.85409,26269093.6730686
2019-12-16,32.89,33.01,25.91,29.09,687095.72768,19814360.3863956
2019-12-23,29.09,29.99,27.07,29.14,210626.23972,5943500.4901098
2019-12-30,29.16,32.01,26.64,30.81,281143.53558,8163009.0069326
2020-01-06,30.81,36.76,30.01,35.52,717713.31836,23810409.8727058
2020-01-13,35.52,65.96,34.57,51.56,2872454.00152,145099003.308906
2020-01-20,51.6,56.02,46.22,53.65,907526.41381,46736698.2971839
2020-01-27,53.67,70.42,53.65,66.36,1509708.52724,94693336.4975291
2020-02-03,66.4,72.97,62.28,71.33,1072404.32684,73815967.1184219
2020-02-10,71.29,75.82,54.07,60.0,1187547.98899,81299115.9910046
2020-02-17,60.01,68.78,54.76,63.32,1127492.86098,69866716.2540936
2020-02-24,63.29,64.28,47.96,49.1,1167519.604,61936777.2636727
2020-03-02,49.06,53.53,42.03,42.83,679855.68202,33831228.1609296
2020-03-09,42.82,44.16,17.13,25.68,2015485.2917,59882617.9334326
2020-03-16,25.67,36.21,21.3,29.49,2074843.70377,59863895.208524
2020-03-23,29.49,33.17,28.21,28.22,857267.539,26858063.6285108
2020-03-30,28.21,33.91,28.21,32.52,749469.8556,23759327.1189608
2020-04-06,32.53,42.19,32.49,36.38,1713664.8053,63632766.6747339
2020-04-13,36.34,47.56,33.87,46.44,1350116.35725,53745566.6695399
2020-04-20,46.44,48.83,40.51,44.59,1727923.45457,76539892.2146495
2020-04-27,44.59,49.0,42.36,44.78,1088569.33756,49616841.0702551
2020-05-04,44.77,47.5,38.72,40.9,904505.36101,39510615.4984062
2020-05-11,40.87,47.5,37.85,46.25,881004.64982,37769558.9273699
2020-05-18,46.25,50.45,44.41,45.0,1150150.32586,54871756.6455912
