signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return,ret_24,ret_72,ret_168,ret_288,atr_24_pct,atr_72_pct,vol_24,vol_72,volume_ratio_24,rsi_14,above_sma_24,above_sma_72,above_sma_168,above_sma_288,atr_24_pct_live_pct,atr_72_pct_live_pct,vol_24_live_pct,vol_72_live_pct,volume_ratio_24_live_pct,rsi_14_live_pct,ret_24_live_pct,ret_72_live_pct,asset,split
652,2024-10-27 23:00:00,2024-10-28,2024-10-28 23:00:00,67992.6,67992.7,69940.0,67802.7796875,-0.0027917789950671,0.2,-1,-0.0286398392768636,-0.0300398392768636,0.013728571471169682,-0.0026579125705182838,-0.01488696770940634,0.014147404469595282,0.003300052750838557,0.004953255534017258,0.0019473830365628023,0.002912220939459272,1.101533729266477,73.28040918535932,True,True,True,True,0.14520547945205478,0.23013698630136986,0.18904109589041096,0.1232876712328767,0.7095890410958904,0.9315068493150684,0.7643835616438356,0.2547945205479452,btc_1h,train
653,2024-10-28 23:00:00,2024-10-29,2024-10-29 23:00:00,69940.0,69939.9,72739.5,68994.7046875,-0.013515803724621,0.0,-1,-0.0400286531722235,-0.0414286531722235,0.02864135214714536,0.04916085132937709,0.03816603531605134,0.034737838797490816,0.005702626060432768,0.004074146887808602,0.0026366238459061054,0.00207118967524182,0.6386606652040104,80.54336376404528,True,True,True,True,0.40273972602739727,0.09315068493150686,0.23835616438356164,0.0027397260273972603,0.39452054794520547,0.9753424657534246,0.9287671232876712,0.8356164383561644,btc_1h,train
654,2024-10-29 23:00:00,2024-10-30,2024-10-30 23:00:00,72739.5,72739.5,72349.0,71377.115625,-0.0187296362361578,0.0,-1,0.0053684724255734,0.0039684724255734,0.040027166142407866,0.0845019814586756,0.07911860001424209,0.07919705051074533,0.007621604034488332,0.005396483341238243,0.0047922494251400076,0.0033337361680749696,0.35702734777428385,67.40027182336264,True,True,True,True,0.8712328767123287,0.43561643835616437,0.9041095890410958,0.41643835616438357,0.13150684931506848,0.7808219178082192,0.9397260273972603,0.9808219178082191,btc_1h,train
655,2024-10-30 23:00:00,2024-10-31,2024-10-31 23:00:00,72349.0,72349.0,70321.9,71217.0625,-0.0156455168696181,0.0,-1,0.0280183554713956,0.0266183554713956,-0.005368472425573478,0.06407167838853045,0.08555198117850416,0.05761331310172224,0.006313206356226987,0.006496231231023687,0.00441577043008233,0.004079537092248471,0.47643341072002804,46.704495853339075,True,True,True,True,0.5917808219178082,0.7534246575342466,0.8821917808219178,0.8054794520547945,0.26301369863013696,0.3095890410958904,0.2410958904109589,0.8438356164383561,btc_1h,train
656,2024-10-31 23:00:00,2024-11-01,2024-11-01 23:00:00,70321.9,70321.9,69495.5,70564.0578125,0.0034435618562638,0.8,1,-0.0117516733762881,-0.0131516733762881,-0.02801835547139564,0.005460394623963305,0.031509172145310904,0.02874317371567825,0.006527779160308976,0.006968865870929076,0.004126301680354715,0.00454541940951544,0.4996083674618611,27.035936484353243,False,False,True,True,0.7452054794520548,0.873972602739726,0.7315068493150685,0.8794520547945206,0.2821917808219178,0.049315068493150684,0.005479452054794521,0.36164383561643837,btc_1h,train
657,2024-11-01 23:00:00,2024-11-02,2024-11-02 23:00:00,69495.5,69495.4,69366.6,69765.578125,0.0038862678159017,0.6,1,-0.0018533600785086,-0.0032533600785086,-0.01175167337628813,-0.044597502044968707,0.04249296459194629,0.006887848612215697,0.008675261947416264,0.007284364535193718,0.007356124412635069,0.005433910953996968,0.2583193594501741,49.42648592283629,False,False,False,True,0.9780821917808219,0.9232876712328767,0.9808219178082191,0.9232876712328767,0.04657534246575343,0.40821917808219177,0.2273972602739726,0.005479452054794521,btc_1h,train
658,2024-11-02 23:00:00,2024-11-03,2024-11-03 23:00:00,69366.6,69366.6,68762.5,69428.6859375,0.0008950408049406,0.6,1,-0.0087088022189354,-0.0101088022189354,-0.0018547963537206558,-0.04122240804986932,0.03421408102958323,0.02965467694244217,0.003329652407162331,0.0062129044173356495,0.001508773041728702,0.0048983420392319345,1.5229909484574014,42.244864952289035,False,False,False,True,0.15342465753424658,0.6767123287671233,0.08493150684931507,0.915068493150685,0.8191780821917808,0.25753424657534246,0.38082191780821917,0.030136986301369864,btc_1h,train
659,2024-11-03 23:00:00,2024-11-04,2024-11-04 23:00:00,68762.5,68762.5,67834.3,68671.0375,-0.001330121796037,0.4,-1,0.0134986366115251,0.0120986366115251,-0.00870880221893544,-0.022175168759660857,0.011323291064027519,0.020118267701583425,0.006769193479973301,0.006298612373507836,0.004477251490702914,0.004979067308164879,0.9800036891985182,57.4327552769891,True,False,False,False,0.7671232876712328,0.6767123287671233,0.852054794520548,0.8821917808219178,0.6109589041095891,0.6520547945205479,0.3178082191780822,0.22465753424657534,btc_1h,train
660,2024-11-04 23:00:00,2024-11-05,2024-11-05 23:00:00,67834.3,67834.4,69353.1,67484.521875,-0.0051563607938756,0.2,-1,-0.0223883457360869,-0.0237883457360869,-0.013498636611525172,-0.023903705995352187,-0.030107234772662195,0.017811701016696935,0.007878941774294138,0.0060485419781896544,0.005117566949151749,0.003969365025338341,0.7979260613782656,40.476533256550475,False,False,False,False,0.9342465753424658,0.5342465753424658,0.9287671232876712,0.6821917808219178,0.5068493150684932,0.27945205479452057,0.2602739726027397,0.22465753424657534,btc_1h,train
661,2024-11-05 23:00:00,2024-11-06,2024-11-06 23:00:00,69353.1,69353.1,75579.9,68823.1828125,-0.0076408579789512,0.0,-1,-0.0897840183063192,-0.0911840183063192,0.02238985292101492,-0.0001946181591716556,-0.0465551729115542,0.0172984342958733,0.008242902384079919,0.007553615723978682,0.006232847878898586,0.00529181815463412,0.7640253096201728,55.694481169493436,True,True,False,True,0.9424657534246575,0.9945205479452055,0.9315068493150684,0.936986301369863,0.5150684931506849,0.6273972602739726,0.8657534246575342,0.5753424657534246,btc_1h,train
