scope,score_col,side,long_threshold,short_threshold,min_abs_pred_ret,validation_positive_fold_rate,validation_trades,validation_accuracy,validation_avg_gross_return,validation_avg_net_return,validation_compounded_return,validation_max_drawdown,validation_profit_factor
all_assets_pooled,score_raw,both,0.65,0.45,0.001,0.3333333333333333,755,0.5006622516556292,-0.0006579069824101655,-0.002057906982410165,-0.5647385913007623,-0.5887038238671991,0.6045776339510905
all_assets_pooled,score_raw,both,0.65,0.45,0.002,0.0,598,0.49665551839464883,-0.0009171695081982138,-0.0023171695081982135,-0.5519185395723321,-0.5886695766503997,0.5789678050916481
all_assets_pooled,score_raw,both,0.65,0.45,0.005,0.3333333333333333,258,0.4806201550387597,-0.0005833251010466901,-0.0019833251010466894,-0.3124661688879954,-0.3445646264422242,0.6402447644037782
all_assets_pooled,score_raw,both,0.65,0.45,0.01,0.6666666666666666,51,0.5098039215686274,0.0021687369027894184,0.0007687369027894192,0.02132531467935128,-0.07088966946462427,1.1607103238197325
all_assets_pooled,score_raw,both,0.65,0.4,0.0,0.3333333333333333,892,0.507847533632287,-0.0003732174379224506,-0.0017732174379224501,-0.5132792233972934,-0.5623045107801153,0.6400096885614133
all_assets_pooled,score_raw,both,0.65,0.4,0.001,0.3333333333333333,755,0.5006622516556292,-0.0006579069824101655,-0.002057906982410165,-0.5647385913007623,-0.5887038238671991,0.6045776339510905
all_assets_pooled,score_raw,both,0.65,0.4,0.002,0.0,598,0.49665551839464883,-0.0009171695081982138,-0.0023171695081982135,-0.5519185395723321,-0.5886695766503997,0.5789678050916481
all_assets_pooled,score_raw,both,0.65,0.4,0.005,0.3333333333333333,258,0.4806201550387597,-0.0005833251010466901,-0.0019833251010466894,-0.3124661688879954,-0.3445646264422242,0.6402447644037782
all_assets_pooled,score_raw,both,0.65,0.4,0.01,0.6666666666666666,51,0.5098039215686274,0.0021687369027894184,0.0007687369027894192,0.02132531467935128,-0.07088966946462427,1.1607103238197325
all_assets_pooled,score_raw,both,0.65,0.35,0.0,0.3333333333333333,618,0.5,-0.00020768115361895936,-0.001607681153618959,-0.4112138273624075,-0.4635249218509143,0.6670986530374329
all_assets_pooled,score_raw,both,0.65,0.35,0.001,0.3333333333333333,569,0.4956063268892794,-0.0004252850432100851,-0.0018252850432100847,-0.4480748863882905,-0.48097495395025247,0.6366069680568022
all_assets_pooled,score_raw,both,0.65,0.35,0.002,0.0,486,0.49382716049382713,-0.0006638472146844391,-0.002063847214684439,-0.4541009934640874,-0.487703226445097,0.6066584780739515
all_assets_pooled,score_raw,both,0.65,0.35,0.005,0.3333333333333333,241,0.47717842323651455,-0.0005678689425192167,-0.001967868942519216,-0.30688214269885383,-0.3441251292917282,0.6403035337103233
all_assets_pooled,score_raw,both,0.65,0.35,0.01,0.6666666666666666,50,0.5,0.0017778131998652524,0.00037781319986525315,0.0009902752655273073,-0.07088966946462427,1.0774360161625254
all_assets_pooled,score_raw,both,0.65,0.3,0.0,0.3333333333333333,618,0.5,-0.00020768115361895936,-0.001607681153618959,-0.4112138273624075,-0.4635249218509143,0.6670986530374329
all_assets_pooled,score_raw,both,0.65,0.3,0.001,0.3333333333333333,569,0.4956063268892794,-0.0004252850432100851,-0.0018252850432100847,-0.4480748863882905,-0.48097495395025247,0.6366069680568022
all_assets_pooled,score_raw,both,0.65,0.3,0.002,0.0,486,0.49382716049382713,-0.0006638472146844391,-0.002063847214684439,-0.4541009934640874,-0.487703226445097,0.6066584780739515
all_assets_pooled,score_raw,both,0.65,0.3,0.005,0.3333333333333333,241,0.47717842323651455,-0.0005678689425192167,-0.001967868942519216,-0.30688214269885383,-0.3441251292917282,0.6403035337103233
all_assets_pooled,score_raw,both,0.65,0.3,0.01,0.6666666666666666,50,0.5,0.0017778131998652524,0.00037781319986525315,0.0009902752655273073,-0.07088966946462427,1.0774360161625254
all_assets_pooled,score_raw,both,0.65,0.25,0.0,0.3333333333333333,618,0.5,-0.00020768115361895936,-0.001607681153618959,-0.4112138273624075,-0.4635249218509143,0.6670986530374329
all_assets_pooled,score_raw,both,0.65,0.25,0.001,0.3333333333333333,569,0.4956063268892794,-0.0004252850432100851,-0.0018252850432100847,-0.4480748863882905,-0.48097495395025247,0.6366069680568022
all_assets_pooled,score_raw,both,0.65,0.25,0.002,0.0,486,0.49382716049382713,-0.0006638472146844391,-0.002063847214684439,-0.4541009934640874,-0.487703226445097,0.6066584780739515
all_assets_pooled,score_raw,both,0.65,0.25,0.005,0.3333333333333333,241,0.47717842323651455,-0.0005678689425192167,-0.001967868942519216,-0.30688214269885383,-0.3441251292917282,0.6403035337103233
all_assets_pooled,score_raw,both,0.65,0.25,0.01,0.6666666666666666,50,0.5,0.0017778131998652524,0.00037781319986525315,0.0009902752655273073,-0.07088966946462427,1.0774360161625254
