signal_number,signal_timestamp,entry_timestamp,exit_timestamp,upside_probability,forecast_return,position,exit_reason,exit_price,underlying_return,net_return,equity
602,2024-09-07 23:00:00,2024-09-08,2024-09-08 23:00:00,0.4,-0.004288707469673,0,flat,,0.0,0.0,0.0337158349307048
603,2024-09-08 23:00:00,2024-09-09,2024-09-09 23:00:00,0.2,-0.0058825676381665,0,flat,,0.0,0.0,0.0337158349307048
604,2024-09-09 23:00:00,2024-09-10,2024-09-10 23:00:00,0.2,-0.0057358221145413,0,flat,,0.0,0.0,0.0337158349307048
605,2024-09-10 23:00:00,2024-09-11,2024-09-11 23:00:00,0.4,-0.0023280555936475,0,flat,,0.0,0.0,0.0337158349307048
606,2024-09-11 23:00:00,2024-09-12,2024-09-12 23:00:00,0.0,-0.0071316566982514,0,flat,,0.0,0.0,0.0337158349307048
607,2024-09-12 23:00:00,2024-09-13,2024-09-13 23:00:00,0.6,0.0019492992323183,0,flat,,0.0,0.0,0.0337158349307048
608,2024-09-13 23:00:00,2024-09-14,2024-09-14 23:00:00,0.2,-0.0081179768369496,0,flat,,0.0,0.0,0.0337158349307048
609,2024-09-14 23:00:00,2024-09-15,2024-09-15 23:00:00,0.6,-0.0013090276040624,0,flat,,0.0,0.0,0.0337158349307048
610,2024-09-15 23:00:00,2024-09-16,2024-09-16 23:00:00,0.4,-0.0044610848258475,0,flat,,0.0,0.0,0.0337158349307048
611,2024-09-16 23:00:00,2024-09-17,2024-09-17 23:00:00,0.6,-0.0020531728521834,0,flat,,0.0,0.0,0.0337158349307048
612,2024-09-17 23:00:00,2024-09-18,2024-09-18 23:00:00,0.4,-0.002496433370382,0,flat,,0.0,0.0,0.0337158349307048
613,2024-09-18 23:00:00,2024-09-19,2024-09-19 23:00:00,0.2,-0.0121466289343374,0,flat,,0.0,0.0,0.0337158349307048
614,2024-09-19 23:00:00,2024-09-20,2024-09-20 23:00:00,0.0,-0.029005791342812,0,flat,,0.0,0.0,0.0337158349307048
615,2024-09-20 23:00:00,2024-09-21,2024-09-21 23:00:00,0.2,-0.0065551064333279,0,flat,,0.0,0.0,0.0337158349307048
616,2024-09-21 23:00:00,2024-09-22,2024-09-22 23:00:00,0.2,-0.0121620052360527,0,flat,,0.0,0.0,0.0337158349307048
617,2024-09-22 23:00:00,2024-09-23,2024-09-23 23:00:00,0.0,-0.0237254856360449,0,flat,,0.0,0.0,0.0337158349307048
618,2024-09-23 23:00:00,2024-09-24,2024-09-24 23:00:00,0.2,-0.0047578966699314,0,flat,,0.0,0.0,0.0337158349307048
619,2024-09-24 23:00:00,2024-09-25,2024-09-25 23:00:00,0.4,-0.0029927216891774,0,flat,,0.0,0.0,0.0337158349307048
620,2024-09-25 23:00:00,2024-09-26,2024-09-26 23:00:00,0.6,0.001781621920074,0,flat,,0.0,0.0,0.0337158349307048
621,2024-09-26 23:00:00,2024-09-27,2024-09-27 23:00:00,0.0,-0.0092790468335502,0,flat,,0.0,0.0,0.0337158349307048
622,2024-09-27 23:00:00,2024-09-28,2024-09-28 23:00:00,0.2,-0.0050756606313955,0,flat,,0.0,0.0,0.0337158349307048
623,2024-09-28 23:00:00,2024-09-29,2024-09-29 23:00:00,0.4,-0.0022618917172825,0,flat,,0.0,0.0,0.0337158349307048
624,2024-09-29 23:00:00,2024-09-30,2024-09-30 23:00:00,0.8,0.0057589933214473,0,flat,,0.0,0.0,0.0337158349307048
