split,leverage,stop_margin_loss,trades,win_rate,avg_net_return,total_return,max_drawdown,stops
validation,10.0,,8,0.75,0.23488698803552557,2.7135155440404604,-0.3731352550729665,0
validation,10.0,0.6,8,0.75,0.23488698803552557,2.7135155440404604,-0.3731352550729665,0
validation,5.0,0.15,8,0.75,0.12201444745982319,1.2866700045950035,-0.15000000000000002,1
validation,5.0,,8,0.75,0.11744349401776279,1.1882957727986758,-0.18656762753648326,0
validation,5.0,0.3,8,0.75,0.11744349401776279,1.1882957727986758,-0.18656762753648326,0
validation,5.0,0.6,8,0.75,0.11744349401776279,1.1882957727986758,-0.18656762753648326,0
validation,3.0,,8,0.75,0.07046609641065767,0.6560433555487357,-0.11194057652188993,0
validation,3.0,0.15,8,0.75,0.07046609641065767,0.6560433555487357,-0.11194057652188993,0
validation,3.0,0.3,8,0.75,0.07046609641065767,0.6560433555487357,-0.11194057652188993,0
validation,3.0,0.6,8,0.75,0.07046609641065767,0.6560433555487357,-0.11194057652188993,0
validation,2.0,,8,0.75,0.04697739760710512,0.4172134623124628,-0.07462705101459344,0
validation,2.0,0.15,8,0.75,0.04697739760710512,0.4172134623124628,-0.07462705101459344,0
validation,2.0,0.3,8,0.75,0.04697739760710512,0.4172134623124628,-0.07462705101459344,0
validation,2.0,0.6,8,0.75,0.04697739760710512,0.4172134623124628,-0.07462705101459344,0
validation,1.0,,8,0.75,0.02348869880355256,0.19831136344997002,-0.03731352550729661,0
validation,1.0,0.15,8,0.75,0.02348869880355256,0.19831136344997002,-0.03731352550729661,0
validation,1.0,0.3,8,0.75,0.02348869880355256,0.19831136344997002,-0.03731352550729661,0
validation,1.0,0.6,8,0.75,0.02348869880355256,0.19831136344997002,-0.03731352550729661,0
