signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return,actual_up,mean_pred_up,mean_pred_correct,prob_signal_correct,atr_24_pct,pre_vol_24,pre_vol_72,pre_abs_ret_24,future_vol_24,future_abs_ret_24,atr_24_pct_quintile,pre_vol_24_quintile,pre_vol_72_quintile,pre_abs_ret_24_quintile,future_vol_24_quintile,atr_24_pct_live_percentile,pre_vol_24_live_percentile,pre_vol_72_live_percentile,rule_exit_reason,rule_underlying_return,rule_net_return,rule_equity,leverage,stop_margin_loss,split
750,2025-02-02 23:00:00,2025-02-03,2025-02-03 23:00:00,97664.5,97664.5,101293.7,101215.965625,0.0363639359746888,1.0,1,0.0371598687342893,0.0357598687342893,True,True,True,True,0.0102728388172433,0.0067461193852282,0.0050160229696927,0.005626747077297,0.012228507487506,0.0364860820077592,5,5,4,5,5,0.8246575342465754,0.8136986301369863,0.5123287671232877,time,0.037159868734289336,0.35759868734289335,7.528092315775977,10.0,0.3,validation
752,2025-02-04 23:00:00,2025-02-05,2025-02-05 23:00:00,97709.9,97710.0,96553.2,100148.378125,0.0249563056046521,1.0,1,-0.0118391157506908,-0.0132391157506908,False,True,False,False,0.0112157689923607,0.0070964711006303,0.009021632494261,0.0052829100489113,0.0038107041676217,0.011908732744746,5,5,5,5,3,0.863013698630137,0.8301369863013699,0.9397260273972604,time,-0.011839115750690854,-0.13239115750690855,6.531439460271532,10.0,0.3,validation
776,2025-02-28 23:00:00,2025-03-01,2025-03-01 23:00:00,84299.6,84299.6,86007.7,85391.096875,0.012947829823629,1.0,1,0.0202622550996682,0.0188622550996682,True,True,True,True,0.0162962418168848,0.010354405057081,0.007972773360979,0.0070555976367278,0.0047765994774078,0.0200597070911493,5,5,5,5,4,0.9753424657534246,0.958904109589041,0.8931506849315068,time,0.02026225509966828,0.1886225509966828,7.763416232948345,10.0,0.3,validation
786,2025-03-10 23:00:00,2025-03-11,2025-03-11 23:00:00,78567.8,78567.8,82896.0,80169.5125,0.0203863732979668,1.0,1,0.0550887259157057,0.0536887259157057,True,True,True,True,0.0163460200404406,0.0102726863256521,0.007048145814774,0.0079355710591946,0.0086899077492329,0.0536248637858238,5,5,5,5,5,0.9726027397260274,0.947945205479452,0.8410958904109589,time,0.055088725915705794,0.5368872591570579,11.931495495951394,10.0,0.3,validation
809,2025-04-02 23:00:00,2025-04-03,2025-04-03 23:00:00,82485.1,82485.1,83181.5,83343.90625,0.0104116531349297,1.0,1,0.0084427369306698,0.0070427369306698,True,True,True,True,0.0104947236935317,0.0074596293353066,0.0058018182320045,0.0054424019011168,0.0052646978123728,0.0084072963644321,5,5,4,5,4,0.8438356164383561,0.873972602739726,0.7041095890410959,time,0.00844273693066988,0.07042736930669881,12.771799335625976,10.0,0.3,validation
814,2025-04-07 23:00:00,2025-04-08,2025-04-08 23:00:00,79140.0,79140.1,76297.9,80670.5828125,0.0193401922226434,1.0,1,-0.0359135255072966,-0.0373135255072966,False,True,False,False,0.0177883602897818,0.0111306266732242,0.0075443232725689,0.0090217863407086,0.0074302099696235,0.0365730209814097,5,5,5,5,5,0.9917808219178084,0.9671232876712328,0.8904109589041096,stop,-0.028599999999999997,-0.3,8.940259534938184,10.0,0.3,validation
815,2025-04-08 23:00:00,2025-04-09,2025-04-09 23:00:00,76297.9,76298.0,82588.0,79592.490625,0.0431806199777452,1.0,1,0.0824399066816954,0.0810399066816954,True,True,True,True,0.0107756351529115,0.0074302099696235,0.0084990082629712,0.0051264575619873,0.0125602482555073,0.0792189765467643,5,5,5,5,5,0.8547945205479452,0.8684931506849315,0.9232876712328768,time,0.08243990668169543,0.8103990668169543,16.185437519153467,10.0,0.3,validation
890,2025-06-22 23:00:00,2025-06-23,2025-06-23 23:00:00,100904.7,100904.7,105290.9,102575.80625,0.0165612330248244,1.0,1,0.0434687383243792,0.0420687383243792,True,True,True,True,0.0086964482328375,0.0070832642496111,0.0052372935731532,0.0048365227093799,0.0060031571215902,0.0425504886046859,4,5,4,5,5,0.7534246575342466,0.8493150684931506,0.6191780821917808,time,0.04346873832437925,0.4206873832437925,22.99444687574204,10.0,0.3,validation
1000,2025-10-10 23:00:00,2025-10-11,2025-10-11 23:00:00,112714.9,112715.0,110579.1,113247.0578125,0.0047212729860915,1.0,1,-0.0189495630572682,-0.0203495630572682,False,True,False,False,0.0142632355320074,0.005826625171203,0.0051962187148408,0.0045919126910757,0.007047137628313,0.0191305197396337,5,4,4,5,5,0.96986301369863,0.8027397260273973,0.7342465753424657,time,-0.01894956305726825,-0.2034956305726825,18.315177409092865,10.0,0.3,test
1006,2025-10-16 23:00:00,2025-10-17,2025-10-17 23:00:00,108129.4,108129.4,106378.6,109686.3078125,0.0143985614689436,1.0,1,-0.01619171104251,-0.01759171104251,False,True,False,False,0.0093533766024781,0.0060413444586561,0.0045560338076173,0.0046696639113488,0.0063540313091083,0.0163242292066151,5,5,3,5,5,0.8575342465753425,0.8301369863013699,0.6438356164383562,time,-0.01619171104251005,-0.1759171104251005,15.09322432236217,10.0,0.3,test
