rule,side,n,direction_accuracy,avg_unlevered_direction_return,avg_original_net_return,vol_col,vol_rule,p_rule,leakage_safe
p_le_0p4+pre_vol_72_quintile:mid_vol_q2_q4,short,390,0.5128205128205128,-0.00020126930772130293,-0.0018621975869556608,pre_vol_72_quintile,mid_vol_q2_q4,p_le_0p4,False
p_le_0p4+atr_24_pct_quintile:all_vol,short,650,0.5123076923076924,-0.0001570772776850019,-0.001842798742815713,atr_24_pct_quintile,all_vol,p_le_0p4,False
p_le_0p4+pre_vol_24_quintile:all_vol,short,650,0.5123076923076924,-0.0001570772776850019,-0.001842798742815713,pre_vol_24_quintile,all_vol,p_le_0p4,False
p_le_0p4+pre_vol_72_quintile:all_vol,short,650,0.5123076923076924,-0.0001570772776850019,-0.001842798742815713,pre_vol_72_quintile,all_vol,p_le_0p4,False
p_le_0p4+atr_24_pct_quintile:high_vol_q4_q5,short,244,0.5122950819672131,-4.212437171936106e-05,-0.00181740307870991,atr_24_pct_quintile,high_vol_q4_q5,p_le_0p4,False
p_ge_0p6+pre_vol_72_quintile:mid_vol_q2_q4,long,318,0.5094339622641509,0.0019882333839917926,0.0008324071508864219,pre_vol_72_quintile,mid_vol_q2_q4,p_ge_0p6,False
p_le_0p2+atr_24_pct_quintile:low_vol_q1_q2,short,165,0.509090909090909,-0.0014896708842647565,-0.003145904493455789,atr_24_pct_quintile,low_vol_q1_q2,p_le_0p2,False
p_le_0p4+pre_vol_24_quintile:mid_vol_q2_q4,short,403,0.5086848635235732,-0.00026863589325071925,-0.001944530453515734,pre_vol_24_quintile,mid_vol_q2_q4,p_le_0p4,False
p_le_0p2+pre_vol_72_quintile:high_vol_q5,short,67,0.5074626865671642,0.00025926707009561083,-0.001578724660253651,pre_vol_72_quintile,high_vol_q5,p_le_0p2,False
p_le_0p2+pre_vol_24_quintile:low_vol_q1_q2,short,162,0.5061728395061729,-0.0016237142531720131,-0.0032952216968284856,pre_vol_24_quintile,low_vol_q1_q2,p_le_0p2,False
p_le_0p2+pre_vol_72_quintile:high_vol_q4_q5,short,137,0.5036496350364964,-8.63459023515522e-06,-0.0017908838939583803,pre_vol_72_quintile,high_vol_q4_q5,p_le_0p2,False
p_eq_0+atr_24_pct_quintile:all_vol,short,161,0.5031055900621118,-0.0009704173939716834,-0.002715114193652087,atr_24_pct_quintile,all_vol,p_eq_0,False
p_eq_0+pre_vol_24_quintile:all_vol,short,161,0.5031055900621118,-0.0009704173939716834,-0.002715114193652087,pre_vol_24_quintile,all_vol,p_eq_0,False
p_eq_0+pre_vol_72_quintile:all_vol,short,161,0.5031055900621118,-0.0009704173939716834,-0.002715114193652087,pre_vol_72_quintile,all_vol,p_eq_0,False
