signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return,actual_up,mean_pred_up,mean_pred_correct,prob_signal_correct,atr_24_pct,pre_vol_24,pre_vol_72,pre_abs_ret_24,future_vol_24,future_abs_ret_24,atr_24_pct_quintile,pre_vol_24_quintile,pre_vol_72_quintile,pre_abs_ret_24_quintile,future_vol_24_quintile,atr_24_pct_live_percentile,pre_vol_24_live_percentile,pre_vol_72_live_percentile
169,2023-07-02 23:00:00,2023-07-03,2023-07-03 23:00:00,30612.7,30612.7,31149.0,30660.826171875,0.0015720982427227,0.4,-1,-0.0175188728860897,-0.0189188728860897,True,True,True,False,0.0039085085601727465,0.0017173286756136826,0.004177497962772648,0.0013127967657732646,0.0030584050663291307,0.017367186453592903,1,1,3,1,2,0.08928571428571429,0.05952380952380952,0.43452380952380953
170,2023-07-03 23:00:00,2023-07-04,2023-07-04 23:00:00,31149.0,31149.0,30756.1,31070.211328125,-0.0025294125613984,0.2,-1,0.0126135670487014,0.0112135670487014,False,False,True,True,0.0047530953374640165,0.003058405066329122,0.002071569997855406,0.0019779785385906448,0.0025363543493859657,0.012693793426676836,2,2,1,2,1,0.17751479289940827,0.3136094674556213,0.011834319526627219
171,2023-07-04 23:00:00,2023-07-05,2023-07-05 23:00:00,30756.1,30756.1,30488.4,30707.600390625,-0.0015769102511371,0.4,-1,0.0087039644168147,0.0073039644168147,False,False,True,True,0.004649484167368424,0.0025363543493859566,0.0025169536287150836,0.0018442418528593258,0.0023011567236435756,0.008742065161223365,2,1,1,1,1,0.1588235294117647,0.17058823529411765,0.047058823529411764
172,2023-07-05 23:00:00,2023-07-06,2023-07-06 23:00:00,30488.4,30488.4,29874.4,30344.628125,-0.0047156254509912,0.0,-1,0.0201388068904895,0.0187388068904895,False,False,True,True,0.004193808136865164,0.0023011567236435647,0.00267257230506608,0.0016253272782926025,0.006231263538902129,0.020344357033539782,1,1,1,1,5,0.11695906432748537,0.14035087719298245,0.08771929824561403
173,2023-07-06 23:00:00,2023-07-07,2023-07-07 23:00:00,29874.4,29874.3,30327.9,30191.228515625,0.0106053515928352,1.0,1,0.01518361936514,0.01378361936514,True,True,True,True,0.008860847414508747,0.006231263538902126,0.004051971963824215,0.004634366454306704,0.002572162210264035,0.015066154557572252,5,5,3,5,2,0.813953488372093,0.8197674418604651,0.4011627906976744
174,2023-07-07 23:00:00,2023-07-08,2023-07-08 23:00:00,30327.9,30328.0,30269.3,30247.768359375,-0.0026421757070222,0.4,-1,0.0019355051437616,0.0005355051437616,False,False,True,True,0.005237476602951963,0.0025721622102640226,0.004101146010491123,0.002115579647805621,0.0015372734150254476,0.0019340833657984261,2,2,3,2,1,0.26011560693641617,0.18497109826589594,0.42196531791907516
175,2023-07-08 23:00:00,2023-07-09,2023-07-09 23:00:00,30269.3,30269.2,30147.8,30231.079296875,-0.001262688701919,0.4,-1,0.0040106775203837,0.0026106775203837,False,False,True,True,0.002586504037644297,0.001537273415025429,0.0039818565619606965,0.0012574983254705814,0.0012311120689516637,0.004022045539774808,1,1,3,1,1,0.011494252873563218,0.022988505747126436,0.3850574712643678
176,2023-07-09 23:00:00,2023-07-10,2023-07-10 23:00:00,30147.8,30147.8,30396.9,30241.3578125,0.0031033048016771,0.8,1,0.0082626261286065,0.0068626261286065,True,True,True,True,0.002887164790355078,0.001231112068951641,0.0018784057934809976,0.000949781421231514,0.004701162666852517,0.008228677508310304,1,1,1,1,4,0.03428571428571429,0.005714285714285714,0.0
177,2023-07-10 23:00:00,2023-07-11,2023-07-11 23:00:00,30396.9,30396.9,30608.4,30375.7546875,-0.0006956404271488,0.2,-1,-0.006957946369531,-0.008357946369531,True,False,False,False,0.005792120249104364,0.004701162666852511,0.0029097077296063043,0.002909082318669339,0.00242904994522426,0.006933851563038399,2,4,1,3,1,0.3693181818181818,0.6136363636363636,0.14204545454545456
178,2023-07-11 23:00:00,2023-07-12,2023-07-12 23:00:00,30608.4,30608.3,30368.9,30666.7109375,0.0019050632342754,0.8,1,-0.007821407918767,-0.009221407918767,False,True,False,False,0.00452476553277313,0.0024290499452242495,0.00310080047020759,0.001811577532057962,0.0027583653784559983,0.007855422643537096,2,1,1,1,2,0.1638418079096045,0.1694915254237288,0.1638418079096045
