p_rule,filters,side,leverage,train_trades,train_accuracy,train_avg_net,train_total_return,train_max_drawdown,val_trades,val_accuracy,val_avg_net,val_total_return,val_max_drawdown,test_trades,test_accuracy,test_avg_net,test_total_return,test_max_drawdown
short_p0,high_vol24+mom24_up,-1,2.0,19,0.3684210526315789,-0.03537849692267697,-0.5295518727999953,-0.5546873560316855,7,0.14285714285714285,-0.04179648777464508,-0.26338407043924794,-0.29401368745905565,3,0.3333333333333333,-0.01795935829749522,-0.05401835923454623,-0.03534774276266972
short_p0,high_vol24+mom24_up,-1,3.0,19,0.3684210526315789,-0.053067745384015444,-0.7006163849541129,-0.7238958346194633,7,0.14285714285714285,-0.06269473166196762,-0.3744268976220434,-0.4126506266975981,3,0.3333333333333333,-0.026939037446242837,-0.08109996758972193,-0.053021614144004525
short_p0,high_vol24+mom24_up,-1,5.0,19,0.3684210526315789,-0.08844624230669243,-0.9030995898688008,-0.9149509367506261,7,0.14285714285714285,-0.10449121943661273,-0.5594943270110804,-0.602598095209073,3,0.3333333333333333,-0.04489839574373807,-0.13529876004706887,-0.08836935690667425
short_p0,high_vol24+mom24_up,-1,10.0,19,0.3684210526315789,-0.17689248461338486,-1.000028826688859,-1.0000299224122884,7,0.14285714285714285,-0.20898243887322546,-0.8466743877749597,-0.874005994998935,3,0.3333333333333333,-0.08979679148747614,-0.2699833035790209,-0.1767387138133485
short_p0,high_vol24+trend72_up,-1,1.0,22,0.36363636363636365,-0.015363310817018038,-0.30076204386708305,-0.32003226508695126,5,0.2,-0.014776475889167459,-0.07293478357298,-0.09261841617996647,4,0.5,-0.0007349881037932303,-0.0036261075713227564,-0.017673871381334805
short_p0,high_vol24+trend72_up,-1,2.0,22,0.36363636363636365,-0.030726621634036076,-0.5323641060345975,-0.5573493349933403,5,0.2,-0.029552951778334918,-0.1438576500900307,-0.1794573584859891,4,0.5,-0.0014699762075864606,-0.008612971565423844,-0.03534774276266972
short_p0,high_vol24+trend72_up,-1,3.0,22,0.36363636363636365,-0.046089932451054104,-0.7037766294678224,-0.7268103450669453,5,0.2,-0.04432942766750238,-0.21260500093207324,-0.2607163615475031,4,0.5,-0.002204964311379695,-0.014941687551120464,-0.053021614144004525
short_p0,high_vol24+trend72_up,-1,5.0,22,0.36363636363636365,-0.0768165540850902,-0.905302010077906,-0.9168839912693043,5,0.2,-0.07388237944583731,-0.3429942749817534,-0.40728271486446277,4,0.5,-0.0036749405189661615,-0.031538567126559114,-0.08836935690667425
short_p0,high_vol24+trend72_up,-1,10.0,22,0.36363636363636365,-0.1536331081701804,-1.0000268304359003,-1.0000278502803015,5,0.2,-0.14776475889167462,-0.6223058817975959,-0.6896331022124245,4,0.5,-0.007349881037932323,-0.09478597586394266,-0.1767387138133485
short_p0,high_vol24+rsi_hot,-1,1.0,9,0.6666666666666666,-0.0020810027377744186,-0.025037935547613577,-0.09842904549217224,7,0.14285714285714285,-0.02089824388732254,-0.13885401244880802,-0.15713803490978073,2,0.5,-0.0036105368212805836,-0.007405815045371411,0.0
