asset,signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return
sol_5m,233,2026-02-15 13:55:00,2026-02-15 14:00:00,2026-02-15 15:55:00,86.93,86.93,87.36,87.32457275390625,0.004538971056093933,0.8,1,0.004946508685148787,0.003546508685148787
sol_5m,234,2026-02-15 15:55:00,2026-02-15 16:00:00,2026-02-15 17:55:00,87.36,87.35,86.36,87.27933349609376,-0.0009233803102821625,0.6,1,-0.011333714939896877,-0.012733714939896877
sol_5m,235,2026-02-15 17:55:00,2026-02-15 18:00:00,2026-02-15 19:55:00,86.36,86.36,85.28,85.83919982910156,-0.0060305716871055905,0.2,-1,0.012505789717461746,0.011105789717461746
sol_5m,236,2026-02-15 19:55:00,2026-02-15 20:00:00,2026-02-15 21:55:00,85.28,85.28,86.12,85.60374908447265,0.0037963072757112525,0.8,1,0.009849906191369717,0.008449906191369717
sol_5m,237,2026-02-15 21:55:00,2026-02-15 22:00:00,2026-02-15 23:55:00,86.12,86.13,86.09,85.73632354736328,-0.0044551376293163305,0.4,-1,0.0004644142575176424,-0.0009355857424823576
sol_5m,238,2026-02-15 23:55:00,2026-02-16 00:00:00,2026-02-16 01:55:00,86.09,86.1,85.71,85.32799835205078,-0.008851221372391938,0.0,-1,0.0045296167247387276,0.0031296167247387274
sol_5m,239,2026-02-16 01:55:00,2026-02-16 02:00:00,2026-02-16 03:55:00,85.71,85.72,85.09,85.81226501464843,0.0011931514951399435,0.8,1,-0.007349510032664486,-0.008749510032664486
sol_5m,240,2026-02-16 03:55:00,2026-02-16 04:00:00,2026-02-16 05:55:00,85.09,85.11,84.65,85.12031860351563,0.0003563121814035064,0.6,1,-0.0054047702972622735,-0.006804770297262274
sol_5m,241,2026-02-16 05:55:00,2026-02-16 06:00:00,2026-02-16 07:55:00,84.65,84.64,85.01,84.37578735351562,-0.003239369716295082,0.4,-1,-0.004371455576559491,-0.005771455576559491
sol_5m,242,2026-02-16 07:55:00,2026-02-16 08:00:00,2026-02-16 09:55:00,85.01,85.03,85.94,84.14294891357422,-0.010199401087234295,0.0,-1,-0.010702105139362539,-0.012102105139362539
sol_5m,243,2026-02-16 09:55:00,2026-02-16 10:00:00,2026-02-16 11:55:00,85.94,85.94,85.48,86.1076446533203,0.001950717399584767,0.4,-1,0.005352571561554553,0.003952571561554553
sol_5m,244,2026-02-16 11:55:00,2026-02-16 12:00:00,2026-02-16 13:55:00,85.48,85.47,84.12,85.37381744384766,-0.0012421918127321519,0.4,-1,0.015795015795015743,0.014395015795015743
sol_5m,245,2026-02-16 13:55:00,2026-02-16 14:00:00,2026-02-16 15:55:00,84.12,84.1,83.15,84.12951202392578,0.00011307684172343624,0.8,1,-0.011296076099880925,-0.012696076099880925
sol_5m,246,2026-02-16 15:55:00,2026-02-16 16:00:00,2026-02-16 17:55:00,83.15,83.17,84.45,83.33816223144531,0.002262925212811884,0.6,1,0.015390164722856703,0.013990164722856703
sol_5m,247,2026-02-16 17:55:00,2026-02-16 18:00:00,2026-02-16 19:55:00,84.45,84.46,84.56,83.81242523193359,-0.007549730823758582,0.2,-1,-0.0011839924224485987,-0.002583992422448599
sol_5m,248,2026-02-16 19:55:00,2026-02-16 20:00:00,2026-02-16 21:55:00,84.56,84.56,85.96,84.91915588378906,0.004247349619075936,0.8,1,0.01655629139072845,0.01515629139072845
sol_5m,249,2026-02-16 21:55:00,2026-02-16 22:00:00,2026-02-16 23:55:00,85.96,85.96,86.39,86.06021728515626,0.0011658595295050977,0.8,1,0.0050023266635645935,0.0036023266635645933
sol_5m,250,2026-02-16 23:55:00,2026-02-17 00:00:00,2026-02-17 01:55:00,86.39,86.39,86.13,86.36319274902344,-0.0003103050234583016,0.2,-1,0.003009607593471575,0.001609607593471575
sol_5m,251,2026-02-17 01:55:00,2026-02-17 02:00:00,2026-02-17 03:55:00,86.13,86.13,86.31,86.43434143066406,0.003533512488843216,0.6,1,0.002089864158829835,0.000689864158829835
sol_5m,252,2026-02-17 03:55:00,2026-02-17 04:00:00,2026-02-17 05:55:00,86.31,86.31,86.16,86.43266448974609,0.0014212083159088618,1.0,1,-0.001737921445950752,-0.003137921445950752
sol_5m,253,2026-02-17 05:55:00,2026-02-17 06:00:00,2026-02-17 07:55:00,86.16,86.18,86.43,86.17960052490234,0.0002274898433420436,0.6,1,0.0029009050823856075,0.0015009050823856075
sol_5m,254,2026-02-17 07:55:00,2026-02-17 08:00:00,2026-02-17 09:55:00,86.43,86.41,85.87,86.13142242431641,-0.003454559478000707,0.2,-1,0.006249276704085038,0.004849276704085038
sol_5m,255,2026-02-17 09:55:00,2026-02-17 10:00:00,2026-02-17 11:55:00,85.87,85.88,85.05,86.44471740722656,0.006692877689840016,1.0,1,-0.009664648346530025,-0.011064648346530025
sol_5m,256,2026-02-17 11:55:00,2026-02-17 12:00:00,2026-02-17 13:55:00,85.05,85.04,84.94,85.23140563964844,0.0021329293315513363,0.6,1,-0.0011759172154280906,-0.0025759172154280908
sol_5m,257,2026-02-17 13:55:00,2026-02-17 14:00:00,2026-02-17 15:55:00,84.94,84.94,83.76,84.81986694335937,-0.0014143284276032953,0.4,-1,0.013892159171179586,0.012492159171179585
sol_5m,258,2026-02-17 15:55:00,2026-02-17 16:00:00,2026-02-17 17:55:00,83.76,83.76,83.64,83.66399383544922,-0.0011462054029463208,0.4,-1,0.0014326647564470996,3.266475644709958e-05
sol_5m,259,2026-02-17 17:55:00,2026-02-17 18:00:00,2026-02-17 19:55:00,83.64,83.64,84.81,83.89100952148438,0.0030010703190384456,0.6,1,0.013988522238163492,0.012588522238163492
sol_5m,260,2026-02-17 19:55:00,2026-02-17 20:00:00,2026-02-17 21:55:00,84.81,84.8,85.16,84.64867401123047,-0.0019022047962449662,0.4,-1,-0.004245283018867951,-0.0056452830188679515
sol_5m,261,2026-02-17 21:55:00,2026-02-17 22:00:00,2026-02-17 23:55:00,85.16,85.16,85.02,85.7404052734375,0.006815468217913368,0.8,1,-0.0016439643024894757,-0.003043964302489476
sol_5m,262,2026-02-17 23:55:00,2026-02-18 00:00:00,2026-02-18 01:55:00,85.02,85.03,84.21,84.90094757080078,-0.0014002873347355171,0.4,-1,0.009643655180524568,0.008243655180524568
sol_5m,263,2026-02-18 01:55:00,2026-02-18 02:00:00,2026-02-18 03:55:00,84.21,84.2,85.26,84.1531005859375,-0.0006756847650218667,0.6,1,0.01258907363420425,0.01118907363420425
sol_5m,264,2026-02-18 03:55:00,2026-02-18 04:00:00,2026-02-18 05:55:00,85.26,85.29,84.84,85.07808227539063,-0.0021336819682076015,0.6,1,-0.0052761167780513984,-0.006676116778051399
sol_5m,265,2026-02-18 05:55:00,2026-02-18 06:00:00,2026-02-18 07:55:00,84.84,84.86,85.23,85.26472625732421,0.005006202938757798,0.8,1,0.004360122554796231,0.0029601225547962306
sol_5m,266,2026-02-18 07:55:00,2026-02-18 08:00:00,2026-02-18 09:55:00,85.23,85.23,85.27,85.2624725341797,0.00038099887574427616,0.6,1,0.0004693183151471825,-0.0009306816848528175
sol_5m,267,2026-02-18 09:55:00,2026-02-18 10:00:00,2026-02-18 11:55:00,85.27,85.26,82.78,85.63979644775391,0.004336770819208513,0.8,1,-0.029087497067792678,-0.030487497067792677
sol_5m,268,2026-02-18 11:55:00,2026-02-18 12:00:00,2026-02-18 13:55:00,82.78,82.8,82.54,83.67664642333985,0.010831679431503271,1.0,1,-0.0031400966183573464,-0.004540096618357347
