asset,p_rule,filter,side,n,accuracy,avg_net_1x,total_1x,avg_net_10x,total_10x
btc_5m,long_p100,low_vol24,1,22,0.6818181818181818,-0.0015050973907827074,-0.03320071618620202,-0.01505097390782708,-0.33331627666193764
btc_5m,long_p60,rsi_mid,1,179,0.5307262569832403,-0.0015113622959549665,-0.241752200417222,-0.01511362295954967,-0.9674707087787968
btc_5m,long_p80,rsi_cold,1,80,0.525,-0.001535492641238955,-0.11862322690471594,-0.015354926412389567,-0.7933551833651916
btc_5m,long_p60,low_vol24,1,121,0.5785123966942148,-0.0015576599258815514,-0.17391758998954754,-0.015576599258815526,-0.8850752149953749
btc_5m,short_p20,low_vol24,-1,48,0.5,-0.0015793904762796077,-0.07364757536886612,-0.015793904762796077,-0.56379242605257
btc_5m,short_p40,trend72_down,-1,212,0.5047169811320755,-0.001598726515452414,-0.2939686757344322,-0.015987265154524147,-0.9882612654529371
btc_5m,short_p0,trend288_up,-1,27,0.5925925925925926,-0.0016025284686856333,-0.04352145141249508,-0.01602528468685634,-0.43473375885408505
btc_5m,short_p40,low_vol72,-1,94,0.5319148936170213,-0.00163307343466983,-0.14600350608681367,-0.016330734346698298,-0.8768680565643395
btc_5m,short_p40,low_vol24,-1,90,0.5333333333333333,-0.0016809061198395116,-0.1429252807712249,-0.016809061198395123,-0.8532418082098285
btc_5m,long_p60,mom24_up,1,188,0.4787234042553192,-0.0016813475369890777,-0.2748398898533053,-0.01681347536989078,-0.9767030154972571
btc_5m,long_p80,low_vol72,1,67,0.5223880597014925,-0.001681579130814719,-0.10819472795202956,-0.016815791308147195,-0.7358423862221023
btc_5m,long_p60,trend288_up,1,239,0.4686192468619247,-0.0016855442452572878,-0.33531481651827844,-0.016855442452572884,-0.9901118565455097
btc_5m,short_p40,high_vol72,-1,112,0.4642857142857143,-0.0017175597915830912,-0.17970166916846564,-0.017175597915830922,-0.9197074401625369
btc_5m,short_p40,rsi_hot,-1,166,0.4879518072289157,-0.001725567674905558,-0.25365556704893644,-0.01725567674905559,-0.9702311891065155
btc_5m,short_p40,mom72_up,-1,237,0.4978902953586498,-0.0017534458330977418,-0.345820337834846,-0.017534458330977422,-0.9940254256724874
btc_5m,long_p60,all,1,429,0.5081585081585082,-0.0017619351955315493,-0.5367152069674745,-0.017619351955315502,-0.9998812595716478
btc_5m,long_p80,rsi_hot,1,50,0.4,-0.001766891239845275,-0.08580659770144872,-0.017668912398452755,-0.6401951081612482
btc_5m,long_p80,mom24_down,1,129,0.5193798449612403,-0.0017789762827586774,-0.209537492256339,-0.017789762827586778,-0.9450081686533641
btc_5m,short_p40,mom24_up,-1,260,0.5076923076923077,-0.0017862540056847868,-0.37809316978128005,-0.017862540056847873,-0.9968948478561798
btc_5m,long_p100,trend72_down,1,46,0.5869565217391305,-0.0017980941693347687,-0.08129504974997304,-0.017980941693347702,-0.6559119829444038
btc_5m,long_p60,rsi_cold,1,141,0.5319148936170213,-0.0018054033485579686,-0.2284798010523208,-0.0180540334855797,-0.9523737884461634
btc_5m,short_p20,trend288_up,-1,91,0.5164835164835165,-0.0018139324609052715,-0.15453211672245915,-0.018139324609052716,-0.8584386826856536
btc_5m,long_p100,mom72_down,1,42,0.5952380952380952,-0.001814464909534046,-0.0752686030323435,-0.01814464909534047,-0.6315115444024093
btc_5m,long_p60,mom24_down,1,241,0.5311203319502075,-0.0018248002569671708,-0.3611275819642005,-0.018248002569671712,-0.9949031846444196
btc_5m,short_p40,trend288_up,-1,189,0.5026455026455027,-0.001841145518742936,-0.2990078427053523,-0.018411455187429367,-0.9861894679162494
btc_5m,long_p60,trend288_down,1,190,0.5578947368421052,-0.0018580269698239098,-0.30300117326856923,-0.01858026969823911,-0.9879916357505537
btc_5m,long_p100,trend288_down,1,25,0.68,-0.001858667123408158,-0.04662747145586754,-0.01858667123408159,-0.4590254855621
btc_5m,long_p100,mom24_down,1,42,0.5952380952380952,-0.001886429431030819,-0.07816511531362547,-0.0188642943103082,-0.6465670836988637
