filter_pair,validation_trades,validation_accuracy,validation_avg_net_return,validation_compounded_return,test_trades,test_accuracy,test_avg_net_return,test_compounded_return
above_sma_288+ret_288_up,23,0.391304347826087,0.007415813621608816,0.17633476721874186,6,0.6666666666666666,0.016155754680697774,0.09665766181166746
ret_288_up+vol_high,12,0.5,0.007150663555367758,0.08641926181085324,6,0.8333333333333334,0.018707375134936786,0.11365758168860296
above_sma_288+vol_high,12,0.5,0.006735096517542963,0.08097478715008477,6,0.8333333333333334,0.019957112841086342,0.12198383602491414
below_sma_72+vol_high,9,0.7777777777777778,0.006657100704469461,0.06053088195844247,3,1.0,0.009815934843048947,0.029677578051082287
weekday+ret_288_up,26,0.38461538461538464,0.005998242213429124,0.1591315895894847,7,0.7142857142857143,0.014266858170292374,0.09987468415106648
vol_high+atr_high,17,0.5294117647058824,0.005722068890766257,0.09790194958084264,8,0.875,0.016376712765703155,0.1346571854787464
above_sma_72+vol_high,12,0.5,0.005631635615218368,0.06684221955969205,5,0.8,0.02031317951929568,0.10195386368067161
weekday+vol_high,19,0.631578947368421,0.00560117252617658,0.10824275035484043,6,0.8333333333333334,0.018707375134936786,0.11365758168860296
hour_8_15+atr_high,9,0.4444444444444444,0.005559444434397051,0.046124695865076726,3,0.6666666666666666,0.006950242480440547,0.020851252378930596
weekday+hour_16_23,31,0.5483870967741935,0.004746929521566858,0.15309379741598406,5,0.6,0.016347924306180976,0.08029169003878556
above_sma_72+ret_288_down,8,0.5,0.00459811621415447,0.03565298083466839,3,1.0,0.005559845256715002,0.016743722230385893
hour_16_23+above_sma_288,15,0.4,0.004588172485897619,0.06833332896467259,5,0.6,0.01784760955356044,0.08836848448311385
ret_72_down+vol_high,11,0.6363636363636364,0.0043827334135770465,0.04809508696760245,3,1.0,0.009815934843048947,0.029677578051082287
below_sma_288+ret_288_down,25,0.64,0.004297394187330042,0.10932771105478989,4,0.75,0.0016961012505643646,0.006747328379955286
below_sma_72+ret_288_down,20,0.7,0.003847851524868759,0.07777727089656539,3,0.6666666666666666,0.002312403729446256,0.006901189110424033
above_sma_288+ret_72_down,11,0.45454545454545453,0.0036149314598657167,0.039208176933443806,3,0.6666666666666666,0.004066990814644857,0.01201169831136184
below_sma_288+atr_high,8,0.625,0.0032556995639823746,0.025281088498227078,3,0.6666666666666666,0.0018691423663806505,0.0055679120408140825
below_sma_288+rsi_mid,9,0.5555555555555556,0.003009194409980877,0.02516345996919278,3,1.0,0.0051780960920546565,0.01560690191045766
weekend+ret_72_down,8,0.375,0.0028522455792801263,0.021908206956911203,4,0.75,0.0022303946041674193,0.008889788135373111
ret_288_down+atr_high,8,0.625,0.002632349007245182,0.02014300129495905,3,0.6666666666666666,0.004368617778679763,0.013086034599985252
below_sma_72+atr_high,8,0.5,0.0023188734750362863,0.017609043841067207,4,0.75,0.005946051637295403,0.023845898200016702
hour_8_15+ret_72_down,15,0.4666666666666667,0.002248462563847648,0.03169100655992585,5,0.8,0.006302885449969488,0.03176515939213198
hour_16_23+ret_288_up,18,0.2777777777777778,0.0019898328186544784,0.033626487386189785,5,0.6,0.016347924306180976,0.08029169003878556
weekend+below_sma_288,8,0.375,0.001917341929351348,0.014253355327244144,3,0.6666666666666666,0.0008403806017335565,0.0024735199164716004
ret_72_down+atr_high,11,0.45454545454545453,0.0013748085063414665,0.013999272967524234,4,0.75,0.005946051637295403,0.023845898200016702
ret_72_down+ret_288_down,20,0.6,0.0012433718132936777,0.02309310867311387,5,0.8,0.002636968322745293,0.01319095083901689
below_sma_72+below_sma_288,26,0.5384615384615384,0.000836206987385052,0.019518001498362025,4,0.75,0.002467672574049685,0.009854912712358832
hour_8_15+ret_288_down,8,0.5,0.0003791254811092567,0.0017986694809037918,4,0.75,0.003334411949951944,0.013345796345338057
