scope,filter_name,validation_trades,validation_accuracy,validation_avg_net_return,validation_compounded_return,test_trades,test_accuracy,test_avg_net_return,test_compounded_return
btc_5m,hour_16_23,23,0.5217391304347826,9.330236976850857e-05,0.0017716619918479726,8,0.25,-0.00447480401013939,-0.03529776813886254
btc_5m,above_sma_72,39,0.5384615384615384,0.00035427912552709527,0.013032924856531958,10,0.6,-0.001632892743348401,-0.016278780117876646
btc_5m,below_sma_72,51,0.5294117647058824,-0.0006579808047077152,-0.03438045010379975,14,0.42857142857142855,-0.002026704937352324,-0.028091413543272048
btc_5m,above_sma_288,59,0.4576271186440678,-0.0005981000862175552,-0.0359198181863023,19,0.5263157894736842,-0.001941356906651352,-0.03639742414069147
btc_5m,below_sma_288,31,0.6774193548387096,0.0005015409658806129,0.01465045686316957,5,0.4,-0.0015634030660081721,-0.007799351895136031
btc_5m,ret_72_up,41,0.5609756097560976,0.00026663263708472606,0.010124525165303488,11,0.5454545454545454,-0.0010637468623120446,-0.011727461125270788
btc_5m,ret_72_down,49,0.5102040816326531,-0.0006259606788777659,-0.03160019130323011,13,0.46153846153846156,-0.0025385831593064657,-0.03256737117096642
btc_5m,ret_288_up,52,0.4230769230769231,-0.0003427182816491643,-0.018963135303473933,21,0.47619047619047616,-0.0019164298896301082,-0.03963744694445426
btc_5m,ret_288_down,38,0.6842105263157895,-5.0494328915268904e-05,-0.0028872184812407387,3,0.6666666666666666,-0.0014859229580614242,-0.004451915330122236
btc_5m,vol_high,29,0.6896551724137931,0.0032841707990165533,0.0987186083249072,5,0.4,-0.0017299197557160795,-0.008644665131697482
btc_5m,vol_low,37,0.3783783783783784,-0.0029761845163632974,-0.10511302624198271,11,0.6363636363636364,-0.0017202470233518821,-0.018829938385045764
btc_5m,atr_high,27,0.7037037037037037,0.002642025400019966,0.07293190759806079,7,0.2857142857142857,-0.002284072821671403,-0.015907525413176082
btc_5m,atr_low,38,0.4473684210526316,-0.0023403399277769784,-0.08586316858584264,13,0.6923076923076923,-0.0010158912307674565,-0.013217131707803254
btc_5m,rsi_low,20,0.6,-0.0003764164331968679,-0.007783893879881987,6,0.5,-0.0025266346069900106,-0.015118330281325476
btc_5m,rsi_mid,15,0.4666666666666667,-0.000459162635252769,-0.007227090916939849,5,0.4,-0.0013112520995110168,-0.006549654810472094
btc_5m,rsi_high,16,0.3125,-0.0010772323515148578,-0.01747162885509479,4,0.25,-0.004329684622621637,-0.017233754321313577
btc_5m,score_high,90,0.5333333333333333,-0.00021933483493929707,-0.021795603070004277,24,0.5,-0.0018626165231840231,-0.04391289971687751
btc_5m,score_extreme,24,0.5833333333333334,-0.00131927841051507,-0.03193432249905115,9,0.3333333333333333,-0.0020647620234905285,-0.018462684403354412
all_assets_pooled,weekday,45,0.4888888888888889,0.0006631296007342168,0.009776077717167153,13,0.6153846153846154,-0.008082131890977454,-0.10502708089406132
all_assets_pooled,weekend,6,0.6666666666666666,0.0015607916682034366,0.01143742381805457,1,0.0,-0.003746752984017875,-0.0037467529840178315
all_assets_pooled,hour_0_7,10,0.3,-0.0021539957176310285,-0.021619136914496906,4,0.25,-0.0076202637121287765,-0.03039490617297358
all_assets_pooled,hour_8_15,20,0.8,0.004292597679950041,0.06618690654157455,2,0.5,-0.0003089410371699842,-0.0006348296962163102
all_assets_pooled,hour_16_23,21,0.3333333333333333,-0.001195543541925245,-0.0209095775134428,8,0.75,-0.009714441330483714,-0.07984594084952479
all_assets_pooled,above_sma_72,21,0.7142857142857143,0.007782184358582422,0.1556852112641154,8,0.75,-0.012401179578062194,-0.09962128288091243
all_assets_pooled,below_sma_72,30,0.36666666666666664,-0.004140676316265685,-0.11625994282456675,6,0.3333333333333333,-0.001600838490371206,-0.009728173602826073
all_assets_pooled,above_sma_288,24,0.5833333333333334,0.004420510994778173,0.08592541068244519,12,0.5833333333333334,-0.00911244257821782,-0.10884577182229382
all_assets_pooled,below_sma_288,27,0.4444444444444444,-0.002477284512311696,-0.059488520452335436,2,0.5,0.00026742168594452546,0.0005222984509747342
all_assets_pooled,ret_72_up,18,0.6666666666666666,0.008467789899990906,0.13722922865318998,7,0.7142857142857143,-0.014718402926085452,-0.10304709034552328
all_assets_pooled,ret_72_down,33,0.42424242424242425,-0.0034307465502295747,-0.10648356499109635,7,0.42857142857142855,-0.0008265210120180893,-0.005945945373952655
all_assets_pooled,ret_288_up,28,0.5714285714285714,0.003600948461748605,0.07999746750504344,11,0.5454545454545454,-0.009952676172526972,-0.10896171992419545
all_assets_pooled,ret_288_down,23,0.43478260869565216,-0.0026791728211608937,-0.05432619482083911,3,0.6666666666666666,0.00022165677702397184,0.0006524933752667383
all_assets_pooled,vol_high,29,0.6896551724137931,0.004576853957609847,0.11750168527328086,4,0.75,-0.01992729651587384,-0.08154223716466535
all_assets_pooled,vol_low,15,0.3333333333333333,-0.002078023952970437,-0.026610948230178844,4,0.5,-0.003250346015030813,-0.013001949985871342
all_assets_pooled,atr_high,26,0.6538461538461539,0.004510114108704218,0.10065150345800356,5,0.6,-0.016829290399187187,-0.08561767850608015
all_assets_pooled,atr_low,13,0.3076923076923077,-0.003448714314556229,-0.04498057108221554,4,0.5,-0.003250346015030813,-0.013001949985871342
all_assets_pooled,rsi_low,13,0.5384615384615384,-0.002135127089339076,-0.025712726875292802,2,0.5,-0.0006087399497691649,-0.0012269564610150052
all_assets_pooled,rsi_mid,6,0.8333333333333334,0.01564464535787285,0.09627237583970949,3,0.3333333333333333,-0.0014394611584145778,-0.004330040065992469
all_assets_pooled,rsi_high,10,0.9,0.012002614447142337,0.11046363574242934,5,0.6,-0.019151895462324185,-0.09624197028924342
all_assets_pooled,score_high,21,0.5238095238095238,0.0025108065834796222,0.05328870134840713,7,0.5714285714285714,0.00016251799516921804,0.0009587440776253064
all_assets_pooled,score_extreme,32,0.5,-0.0013581116115902261,-0.05698395188229832,7,0.5714285714285714,-0.0014559824453731767,-0.010619920235403146
