signal_rule,filters,train_trades,train_accuracy,train_avg_directional_edge,train_avg_original_net_return,train_loser_rate,validation_trades,validation_accuracy,validation_avg_directional_edge,validation_avg_original_net_return,validation_loser_rate,test_trades,test_accuracy,test_avg_directional_edge,test_avg_original_net_return,test_loser_rate,stable_score,mean_accuracy
short_p40,sol_trend72_up+btc_low_volume,50,0.42,0.0006062170137197898,-0.0007937829862802037,0.58,15,0.3333333333333333,-0.006169103875141602,-0.0075691038751415805,0.6666666666666666,14,0.6428571428571429,-0.0004741793910653658,-0.0018741793910653792,0.35714285714285715,0.3333333333333333,0.4653968253968254
short_p40,sol_trend72_up+btc_high_vol24,32,0.4375,-0.0014615003589993902,-0.002861500358999372,0.5625,6,0.8333333333333334,0.004568828669429685,0.0031688286694296504,0.16666666666666666,13,0.46153846153846156,-0.0019094987898889031,-0.0033094987898889005,0.5384615384615384,0.4375,0.577457264957265
short_p40,sol_trend72_up+btc_low_vol24,33,0.3939393939393939,-4.2812492882199514e-05,-0.0014428124928821976,0.6060606060606061,8,0.625,0.004912641218497535,0.003512641218497525,0.375,17,0.5882352941176471,0.0017848332971416238,0.00038483329714161763,0.4117647058823529,0.3939393939393939,0.5357248960190137
short_p40,sol_trend72_up+btc_high_atr,29,0.4482758620689655,-0.0007636930810330636,-0.0021636930810330526,0.5517241379310345,7,0.8571428571428571,0.004206367817911664,0.0028063678179116283,0.14285714285714285,13,0.5384615384615384,-0.0005079924543634698,-0.0019079924543634699,0.46153846153846156,0.4482758620689655,0.614626752557787
short_p40,sol_trend72_up+btc_low_atr,28,0.4642857142857143,0.0008007378638346464,-0.0005992621361653538,0.5357142857142857,8,0.75,0.006797299756344341,0.005397299756344313,0.25,15,0.6,0.001829986883561885,0.0004299868835618734,0.4,0.4642857142857143,0.6047619047619048
short_p40,sol_trend72_up+btc_sol_agree,104,0.4326923076923077,-0.0006551062256864016,-0.0020551062256863916,0.5673076923076923,33,0.6060606060606061,0.0011052502077549147,-0.00029474979224509377,0.3939393939393939,34,0.5588235294117647,0.00035656740155155716,-0.0010434325984484353,0.4411764705882353,0.4326923076923077,0.5325254810548928
short_p40,sol_trend72_up+btc_sol_disagree,49,0.5102040816326531,0.0004289159708916043,-0.0009710840291083905,0.4897959183673469,15,0.4,-0.0025385240662612646,-0.003938524066261247,0.6,21,0.6190476190476191,0.0010283056342966143,-0.00037169436570340955,0.38095238095238093,0.4,0.509750566893424
short_p40,sol_trend72_up+hour_8_15,60,0.43333333333333335,-0.0017415659035150317,-0.0031415659035150235,0.5666666666666667,9,0.5555555555555556,0.002011785975251016,0.0006117859752510107,0.4444444444444444,18,0.6666666666666666,0.002984452097545862,0.0015844520975458387,0.3333333333333333,0.43333333333333335,0.5518518518518518
short_p40,sol_trend72_up+weekday,118,0.4576271186440678,0.00011838185860427411,-0.0012816181413957174,0.5423728813559322,37,0.4864864864864865,-0.000823236415242641,-0.002223236415242638,0.5135135135135135,38,0.5263157894736842,-9.126436740874111e-06,-0.0014091264367408769,0.47368421052631576,0.4576271186440678,0.49014313153474615
short_p40,sol_trend72_down+sol_trend288_up,14,0.5,-3.518733760672037e-05,-0.0014351873376067146,0.5,8,0.625,-0.00018240409559708293,-0.0015824040955971,0.375,5,0.0,-0.005268661794804874,-0.00666866179480482,1.0,0.0,0.375
