asset,signal_rule,filters,side,train_trades,train_accuracy,train_avg_directional_edge,train_avg_original_net_return,validation_trades,validation_accuracy,validation_avg_directional_edge,validation_avg_original_net_return,test_trades,test_accuracy,test_avg_directional_edge,test_avg_original_net_return
zec_5m,short_p0,weekend,-1,11,0.18181818181818182,-0.006633248965644292,-0.008033248965644247,4,0.0,-0.007593362390785063,-0.008993362390785025,5,0.4,-0.0032206818772932523,-0.0046206818772932595
zec_5m,short_p0,high_atr+high_vol24,-1,11,0.6363636363636364,0.005795031775801974,0.004395031775801974,3,0.3333333333333333,-0.0021403927870270825,-0.003540392787027067,6,0.3333333333333333,-0.0029048211446095853,-0.004304821144609567
zec_5m,short_p0,high_atr+low_vol24,-1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
zec_5m,short_p0,high_atr+high_vol72,-1,9,0.6666666666666666,0.004156099845566308,0.002756099845566311,4,0.5,-0.0003393910116991916,-0.0017393910116992,3,0.3333333333333333,-0.0071249040213111625,-0.008524904021311131
zec_5m,short_p0,high_atr+low_vol72,-1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
zec_5m,short_p0,high_atr+high_volume,-1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
zec_5m,short_p0,high_atr+low_volume,-1,5,0.8,0.004742515133510561,0.00334251513351056,1,1.0,0.00350667122819015,0.0021066712281901,2,0.5,-0.004301329692094902,-0.005701329692094899
zec_5m,short_p0,high_atr+rsi_hot,-1,7,0.7142857142857143,0.008110637743539388,0.006710637743539373,2,0.5,-0.0006389453113630483,-0.0020389453113630503,3,0.6666666666666666,0.003116393088865651,0.0017163930888656343
zec_5m,short_p0,high_atr+rsi_cold,-1,0,0.0,0.0,0.0,2,0.5,-3.98367120353349e-05,-0.00143983671203535,0,0.0,0.0,0.0
zec_5m,short_p0,high_atr+rsi_mid,-1,5,0.6,0.0014854083370818617,8.54083370818999e-05,0,0.0,0.0,0.0,3,0.0,-0.008926035378084821,-0.010326035378084767
zec_5m,short_p0,high_atr+mom24_up,-1,10,0.6,0.002030608761685604,0.0006306087616856103,3,0.3333333333333333,-0.0016214117583289722,-0.0030214117583289672,4,0.5,0.000864518047030971,-0.0005354819529690244
zec_5m,short_p0,high_atr+mom24_down,-1,2,1.0,0.021947709136664495,0.0205477091366645,1,1.0,0.00350667122819015,0.0021066712281901,2,0.0,-0.010443499527890698,-0.01184349952789065
zec_5m,short_p0,high_atr+mom72_up,-1,7,0.5714285714285714,0.0010314406421603512,-0.0003685593578396282,2,0.5,-0.0006389453113630483,-0.0020389453113630503,3,0.6666666666666666,0.005410041622622523,0.004010041622622501
zec_5m,short_p0,high_atr+mom72_down,-1,5,0.8,0.011396284279012514,0.0099962842790125,2,0.5,-3.98367120353349e-05,-0.00143983671203535,3,0.0,-0.011219683911841694,-0.012619683911841631
zec_5m,short_p0,high_atr+trend24_up,-1,10,0.7,0.006727131344993131,0.0053271313449931215,2,0.5,-0.0006389453113630483,-0.0020389453113630503,5,0.4,-0.0026190895519595083,-0.0040190895519595
zec_5m,short_p0,high_atr+trend24_down,-1,2,0.5,-0.0015349037798731424,-0.00293490377987305,2,0.5,-3.98367120353349e-05,-0.00143983671203535,1,0.0,-0.004333479107859972,-0.0057334791078599
zec_5m,short_p0,high_atr+trend72_up,-1,9,0.5555555555555556,0.0020192915549085175,0.0006192915549085338,3,0.6666666666666666,0.0007429268684880178,-0.0006570731315120002,4,0.5,0.000864518047030971,-0.0005354819529690244
zec_5m,short_p0,high_atr+trend72_down,-1,3,1.0,0.015342627298669457,0.013942627298669434,1,0.0,-0.00358634465226082,-0.0049863446522608,2,0.0,-0.010443499527890698,-0.01184349952789065
zec_5m,short_p0,high_atr+trend288_up,-1,4,0.75,0.002672087044305105,0.0012720870443051003,1,0.0,-0.006341504937010578,-0.0077415049370105,4,0.5,0.000864518047030971,-0.0005354819529690244
zec_5m,short_p0,high_atr+trend288_down,-1,8,0.625,0.006689144714120576,0.005289144714120588,3,0.6666666666666666,0.0016613136300712705,0.0002613136300712333,2,0.0,-0.010443499527890698,-0.01184349952789065
zec_5m,short_p0,high_atr+hour_0_7,-1,2,1.0,0.011112894033985132,0.00971289403398505,2,0.0,-0.004963924794635699,-0.006363924794635651,1,1.0,0.017951838650786756,0.0165518386507867
zec_5m,short_p0,high_atr+hour_8_15,-1,5,1.0,0.014266302239182039,0.01286630223918204,1,1.0,0.005063614314284481,0.0036636143142844,1,0.0,-0.009672574346650809,-0.0110725743466508
zec_5m,short_p0,high_atr+hour_16_23,-1,5,0.2,-0.005871158674739085,-0.00727115867473904,1,1.0,0.00350667122819015,0.0021066712281901,4,0.25,-0.006427047792948365,-0.007827047792948323
zec_5m,short_p0,high_atr+weekday,-1,8,0.75,0.004769440516420559,0.003369440516420563,3,0.6666666666666666,0.0007429268684880178,-0.0006570731315120002,5,0.4,-0.0001750813839472176,-0.0015750813839471994
zec_5m,short_p0,high_atr+weekend,-1,4,0.5,0.0065114954397051394,0.005111495439705151,1,0.0,-0.00358634465226082,-0.0049863446522608,1,0.0,-0.016553519947921425,-0.0179535199479214
zec_5m,short_p0,low_atr+high_vol24,-1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
zec_5m,short_p0,low_atr+low_vol24,-1,7,0.2857142857142857,-0.0029191821423339504,-0.004319182142333915,7,0.14285714285714285,-0.015378575426000043,-0.016778575426000013,1,1.0,0.0038830516217450706,0.002483051621745
zec_5m,short_p0,low_atr+high_vol72,-1,0,0.0,0.0,0.0,1,0.0,-0.012291207059565101,-0.0136912070595651,0,0.0,0.0,0.0
zec_5m,short_p0,low_atr+low_vol72,-1,7,0.2857142857142857,-0.0029191821423339504,-0.004319182142333915,4,0.25,-0.005569519489514563,-0.006969519489514526,0,0.0,0.0,0.0
zec_5m,short_p0,low_atr+high_volume,-1,1,0.0,-0.005489000217817397,-0.0068890002178173,2,0.0,-0.006497325501123807,-0.00789732550112375,0,0.0,0.0,0.0
zec_5m,short_p0,low_atr+low_volume,-1,3,0.0,-0.01069646721396452,-0.012096467213964466,3,0.0,-0.028457316674647348,-0.029857316674647333,1,1.0,0.0038830516217450706,0.002483051621745
zec_5m,short_p0,low_atr+rsi_hot,-1,2,0.0,-0.00823308243585541,-0.00963308243585535,2,0.0,-0.012143779686852207,-0.01354377968685215,0,0.0,0.0,0.0
zec_5m,short_p0,low_atr+rsi_cold,-1,2,0.5,0.0023470344810773147,0.0009470344810773501,2,0.5,0.0010047407078230819,-0.0003952592921769001,0,0.0,0.0,0.0
zec_5m,short_p0,low_atr+rsi_mid,-1,3,0.3333333333333333,-0.0028873930289271543,-0.004287393028927134,5,0.0,-0.01940774628204438,-0.02080774628204436,1,1.0,0.0038830516217450706,0.002483051621745
zec_5m,short_p0,low_atr+mom24_up,-1,3,0.3333333333333333,-0.0006729397846230537,-0.002072939784623033,3,0.0,-0.022781299818314782,-0.024181299818314735,0,0.0,0.0,0.0
zec_5m,short_p0,low_atr+mom24_down,-1,4,0.25,-0.004603863910617123,-0.006003863910617075,6,0.16666666666666666,-0.008495484985555968,-0.00989548498555595,1,1.0,0.0038830516217450706,0.002483051621745
zec_5m,short_p0,low_atr+mom72_up,-1,2,0.5,0.0013483906727658201,-5.16093272341497e-05,5,0.0,-0.019548606900343435,-0.0209486069003434,1,1.0,0.0038830516217450706,0.002483051621745
zec_5m,short_p0,low_atr+mom72_down,-1,5,0.2,-0.004626211268373859,-0.006026211268373821,4,0.25,-0.0053934437166407445,-0.006793443716640726,0,0.0,0.0,0.0
zec_5m,short_p0,low_atr+trend24_up,-1,2,0.0,-0.00823308243585541,-0.00963308243585535,6,0.0,-0.01926133209990677,-0.020661332099906733,1,1.0,0.0038830516217450706,0.002483051621745
